epoch,loss_train,loss_validation,perplexity_train,perplexity_validation,learning_rate
0,5.642876664132203,5.181641351046781,371.708663268478,192.168729404291,0.5
1,5.11958187331143,4.955810692173223,178.4524588145123,153.51705500873894,0.5
2,4.935174929700034,4.842819471963551,148.50632277139502,137.6650238981643,0.5
3,4.819349881940412,4.765719122906971,132.62877438724234,127.85960206081565,0.5
4,4.735740943992223,4.710922944850434,122.42806911235245,121.58547311392836,0.5
5,4.666327375450314,4.673736914278219,114.49538263940592,117.61149043600146,0.5
6,4.612251134261213,4.638650809423611,108.66060424895659,113.68695861970782,0.5
7,4.56433136405956,4.6142681636495455,103.78333885025326,111.0737161209789,0.5
8,4.522421321475068,4.5987911749952515,99.6150371925495,109.22862097249626,0.5
9,4.48520704905678,4.575289603175954,96.1352289133209,107.09042811444519,0.5
10,4.452421361668702,4.563802822202413,93.0562353782962,105.90156318026736,0.5
11,4.4227225874419736,4.550030335768089,90.43754344301614,104.67187400417714,0.5
12,4.390844467471694,4.5339823686403715,87.5909065021385,103.08718547932764,0.5
13,4.3660575885284665,4.527489671374536,85.47212641497966,102.37908285722946,0.5
14,4.341228244285856,4.515929676663761,83.41448200421628,101.21887018403814,0.5
15,4.3160845275289805,4.510954131206638,81.33186177557786,100.782152116743,0.5
16,4.295035610352103,4.502346013237239,79.6350059707951,100.06643194994861,0.5
17,4.274023246896848,4.497868788318512,77.99590846155795,99.48645208437983,0.5
18,4.254615484627558,4.502401609136401,76.46681718514509,100.11485629493055,0.5
19,4.165934038243671,4.440208892852734,70.17748323509605,94.03372657692597,0.25
20,4.137961422281535,4.4350835223294425,68.22418730211585,93.63457504324258,0.25
21,4.12186685823979,4.4352236901101465,67.06459286609264,93.62692611362226,0.25
22,4.109475939260663,4.436727404277038,66.22073885107847,93.97026459706096,0.25
23,4.058818431710551,4.405724949666613,63.02565543061793,91.03713894068116,0.125
24,4.040157542325773,4.403310841836107,61.863708100741995,90.84570303016578,0.125
25,4.028463330263279,4.400889148917823,61.10223730251508,90.57844433312218,0.125
26,4.0190092037254255,4.399246106640345,60.51045587567765,90.46290225253954,0.125
27,4.00985122564265,4.396237713650773,59.936502667147636,90.23086296115567,0.125
28,4.00218509330988,4.395640486535934,59.44222147473399,90.15472208006314,0.125
29,3.9944168098981923,4.396597472560037,58.97674616670707,90.32855322300055,0.125
30,3.9659540156431223,4.3837212064522655,57.37853583619228,89.16032087904449,0.0625
31,3.956266182926491,4.384750255634483,56.830978935538944,89.25873913894446,0.0625
32,3.9427707490288904,4.3784138402872825,56.08873379513026,88.74045924002878,0.03125
33,3.937146794114557,4.378701615447815,55.75997408112626,88.78780474170202,0.03125
34,3.9307888632283077,4.374882769914735,55.42813962946576,88.4295880001066,0.015625
35,3.926663175276158,4.37384506904533,55.197859124090066,88.33612143726775,0.015625
36,3.9240448535536845,4.373513776908159,55.028239405371856,88.30181484925734,0.015625
37,3.922142400388117,4.373836767114898,54.96286402876553,88.34665736870262,0.015625
38,3.919140399622152,4.370864168206216,54.784794906147596,88.07417900024004,0.0078125
39,3.9153792837537518,4.370099695599752,54.55487942096379,88.00081085206601,0.0078125
40,3.914461617768804,4.369931754466697,54.515468129835,87.98432211982556,0.0078125
41,3.912479132031799,4.369938467193843,54.40826657003088,87.99770767252032,0.0078125
42,3.9120774705701176,4.3691598254397785,54.38847601409705,87.92265270502803,0.00390625
43,3.911600152426084,4.368731437780606,54.35881487409171,87.87894886560714,0.00390625
44,3.909741516505501,4.3685171621929975,54.25307621542336,87.86109156552722,0.00390625
45,3.909072385137478,4.368633898175435,54.20633615512094,87.86910306188626,0.00390625
46,3.909635453178334,4.36810160565554,54.24562965931758,87.81753734633311,0.001953125
47,3.906462320160173,4.368091642285307,54.083381883589205,87.8165479777847,0.001953125
48,3.9057451195803425,4.368057294077259,54.06604866618444,87.81062833341166,0.001953125
49,3.9073179955211117,4.368005140584371,54.11745134891977,87.80830941400843,0.001953125
50,3.906769252153208,4.367829138224625,54.08888722401621,87.79435218078768,0.001953125
51,3.9061340497897707,4.368017645689626,54.04748474014799,87.81110518174177,0.001953125
52,3.9061422732575855,4.367616771064754,54.068238801135344,87.76695702530452,0.0009765625
53,3.9053872994978334,4.3677215112791785,54.03380977789232,87.77878648823443,0.0009765625
54,3.90498130463294,4.367527267803399,54.013125504063105,87.75472742312759,0.00048828125
55,3.905259558072211,4.367559879351728,53.99599388199917,87.75697018861517,0.00048828125
56,3.904945873017203,4.36749847882345,53.986492682754054,87.74981289067334,0.000244140625
57,3.904195076267908,4.3675095352628865,53.94311195012966,87.75102713643807,0.000244140625
58,3.9044294004945437,4.3675203085326535,53.967492115883175,87.75136362401823,0.0001220703125
59,3.9036738536977027,4.367512452272307,53.915390950365705,87.75096961941581,6.103515625e-05
60,3.9043596069368274,4.367498816011813,53.96908148766891,87.74957553520244,3.0517578125e-05
61,3.9041879141488574,4.367508992663842,53.94237465228655,87.7502182715744,3.0517578125e-05
62,3.9035251960789887,4.36750215019027,53.90280877087483,87.74983869789762,1.52587890625e-05
63,3.904121311603833,4.367501580931,53.946733437789284,87.74979637504512,7.62939453125e-06
64,3.9037251280221583,4.367499561482471,53.92221670013414,87.74962632394573,3.814697265625e-06
65,3.9045296661759683,4.3674999679239415,53.9748576808568,87.74961457402307,1.9073486328125e-06
