epoch,loss_train,loss_validation,perplexity_train,perplexity_validation,learning_rate
0,6.566037880658624,5.882938828209744,976.7283784354382,367.5657089422731,0.5
1,5.931442872781378,5.59676262385705,387.3295312888958,276.31814290846097,0.5
2,5.662809702898709,5.414410033975454,296.8756918932279,230.85366195966216,0.5
3,5.4682632710277765,5.29810385208796,245.33284919097323,205.9865978290053,0.5
4,5.321302792452469,5.219904290950474,212.38234626238892,191.020128406146,0.5
5,5.204683689924763,5.157886366085971,189.4785874827114,179.78047868258813,0.5
6,5.098130346674418,5.10591102446265,170.62352640934972,170.82820222307654,0.5
7,5.003034952333418,5.061862169710152,155.35065609137354,163.7657092581777,0.5
8,4.906431754532872,5.025287704870982,141.18329318834768,158.20912300488527,0.5
9,4.819132303747537,4.987780584789374,129.51193843855432,152.74581495979254,0.5
10,4.741924138329648,4.995582270271638,119.94439079002849,154.29581291447667,0.5
11,4.623307980757546,4.857207903638482,106.86318815862906,134.0276282473522,0.25
12,4.5393994004861336,4.801717321497991,98.19900713078331,126.78722208563019,0.25
13,4.483273196383636,4.772594023769831,92.76514614691146,123.20055814350353,0.25
14,4.43270208044412,4.761584453503875,88.15966254993837,122.05294544381253,0.25
15,4.385750293240834,4.738574995221022,84.10582002341879,119.13096531699685,0.25
16,4.345846918731269,4.709164157509804,80.79457807476969,115.80939695677337,0.25
17,4.310109382329585,4.708751963506288,77.94380564026639,115.76262229593361,0.25
18,4.2722503524864015,4.707782283425331,75.04117351556366,115.70872752280796,0.25
19,4.233897622227726,4.68070902417907,72.20087812796847,112.50494566559792,0.25
20,4.203369646262794,4.635644363622894,70.0068716628449,107.47356252459919,0.25
21,4.171318557765147,4.644182528807399,67.82335752727633,108.47908236875253,0.25
22,4.083142750195636,4.568306427942041,62.19167985494231,100.64238933780614,0.125
23,4.0286229616847065,4.5395972306347065,58.85337342109121,97.72327199665939,0.125
24,3.996819073420129,4.54011131319053,56.984237685350124,97.84477542340755,0.125
25,3.9646680072316673,4.4675806316492315,55.25213238163993,90.90889464757022,0.0625
26,3.9268417841947754,4.43402220774442,53.187007275370135,87.88360071226077,0.0625
27,3.901931426288364,4.422348992625142,51.8445311315464,86.85541196255123,0.0625
28,3.881220952459739,4.411059483611846,50.76721794959356,85.92915860432036,0.0625
29,3.8614054221845753,4.396587675930384,49.747442448491924,84.66623582427992,0.0625
30,3.843681476883969,4.389975734109826,48.85205954020478,84.1940369334291,0.0625
31,3.826941487462222,4.385681142153985,48.05818533363167,83.81157886017772,0.0625
32,3.8074589452101537,4.366733729346272,47.097011574084284,82.19073357213946,0.0625
33,3.7933806377010626,4.357093138675041,46.417711090039305,81.48392137315344,0.0625
34,3.7793318789991326,4.346766667330966,45.76550534053928,80.60765044873251,0.0625
35,3.7621998893430404,4.340617461458725,44.981564494575636,80.17197005143937,0.0625
36,3.7520688237797355,4.335764641763971,44.516078119269736,79.79417291853358,0.0625
37,3.733210229792609,4.327930670669851,43.69364939733197,79.1760970485561,0.0625
38,3.7214948664813803,4.312772840371027,43.16599381914041,77.97955035067656,0.0625
39,3.707858821686618,4.30055707857451,42.56802073938687,77.00539396221147,0.0625
40,3.6956850713689495,4.288534689365941,42.03189129595623,76.07858291838099,0.0625
41,3.6804419921285336,4.296021689715631,41.39968140022766,76.69484736156814,0.0625
42,3.6365939235534293,4.245096824405825,39.65411442104432,72.86418808120139,0.03125
43,3.615816465696247,4.221003721358583,38.822244748888394,71.11210284601239,0.03125
44,3.603106759995847,4.222017665503218,38.31457279875259,71.25311620840255,0.03125
45,3.5947206237016367,4.181261762538377,38.03102271654797,68.34805214448886,0.015625
46,3.580539065423076,4.172879495603197,37.48161686465599,67.76099127355744,0.015625
47,3.570444068158254,4.165509688229683,37.09496944436714,67.3154122373637,0.015625
48,3.560445782200628,4.151479697841055,36.72817883148603,66.35139387802167,0.015625
49,3.5507416723332255,4.136333924882552,36.35821693395388,65.3084344329203,0.015625
50,3.54464950583669,4.1349256548154,36.12465546380671,65.23046857337741,0.015625
51,3.5353548640231343,4.130293166593594,35.80272066980147,64.91924104576601,0.015625
52,3.528530317962164,4.113784324268208,35.53935443910959,63.87151865617317,0.015625
53,3.521886750272347,4.126617831068442,35.30833007446208,64.72418092848623,0.015625
54,3.519354832591333,4.089062458123355,35.242269348895015,62.29152289252071,0.0078125
55,3.511455149408799,4.079882091952159,34.948990328517624,61.74829686433077,0.0078125
56,3.5072855307922777,4.074651733862565,34.805407089393945,61.428985604468515,0.0078125
57,3.5015994316999866,4.069466774461462,34.6104993796675,61.11423992409426,0.0078125
58,3.4970639612349834,4.058396373491953,34.44525173625235,60.42788262884407,0.0078125
59,3.4935648813051796,4.05394331250778,34.32740897512706,60.15722854873713,0.0078125
60,3.4863336414746553,4.05017455261858,34.07820768875945,59.90230080353863,0.0078125
61,3.4841357275670966,4.049222337958567,34.00844337944097,59.89859616668785,0.0078125
62,3.4790811682014553,4.042555018163779,33.81886013143423,59.4641706167775,0.0078125
63,3.474328141787563,4.038475469740875,33.65698689600751,59.23670474790475,0.0078125
64,3.4705714438651745,4.031731860821738,33.534481702471425,58.813773828394275,0.0078125
65,3.465637457047707,4.023503492093262,33.374253011692716,58.295907372499215,0.0078125
66,3.462070294829674,4.026524635305738,33.24330788266895,58.50750479934847,0.0078125
67,3.4653629865110305,4.008197182625094,33.36806881750816,57.42079073628958,0.00390625
68,3.4645618294534883,4.002055100877495,33.337553800116964,57.071946888285524,0.00390625
69,3.4626489046043925,3.999217135722146,33.27640848220062,56.88931591808796,0.00390625
70,3.461039036389661,3.9933267901377643,33.21923448344728,56.54457293582313,0.00390625
71,3.4594079488871436,3.9887585837722703,33.16523365888584,56.277852310853845,0.00390625
72,3.455181414507066,3.9893273192950907,33.02671106656393,56.323805944446256,0.00390625
73,3.463948302595229,3.9683977946748628,33.335068354875574,55.106112366651786,0.001953125
74,3.4670229393735217,3.962635877980467,33.438769608522,54.78448892910691,0.001953125
75,3.463334452331974,3.9618362485266783,33.31842504026652,54.74007850490949,0.001953125
76,3.459143568869467,3.958691180409754,33.174174481466515,54.56474172455423,0.001953125
77,3.4576742451480666,3.955977919511497,33.1282546261564,54.411058861104884,0.001953125
78,3.4547446420523076,3.956084710217136,33.02181257336781,54.424316357602095,0.001953125
79,3.4586790539884342,3.9434057763942025,33.16903773000685,53.709463011254286,0.0009765625
80,3.4541838410815484,3.941680753548794,33.00862754575026,53.61318536760176,0.0009765625
81,3.4520469472906683,3.9407868266434356,32.94062826074792,53.567107662996825,0.0009765625
82,3.4520732394799434,3.9402686084127603,32.94979899162239,53.53933861632557,0.0009765625
83,3.449938951204828,3.9396916642675506,32.87643856017352,53.51258232882794,0.0009765625
84,3.449685066182141,3.9378918001209113,32.85579752552204,53.41809220392914,0.0009765625
85,3.447540002742239,3.936629698830931,32.79050572697235,53.34483529714977,0.0009765625
86,3.447125628791777,3.935846381382469,32.77817059807493,53.30631085353739,0.0009765625
87,3.4448447121601733,3.9351959875510896,32.703368084419054,53.26939964031472,0.0009765625
88,3.444629903064769,3.9337203139439225,32.693204555020166,53.18784825459999,0.0009765625
89,3.4429021046260506,3.9321449653190723,32.63906370733908,53.10637404199909,0.0009765625
90,3.4431274433730947,3.9322591582861017,32.6496466472324,53.110380573746035,0.0009765625
91,3.4452321395773113,3.9242853981387964,32.72022046614091,52.67446133099935,0.00048828125
92,3.441943284812974,3.923565725905492,32.60573539653524,52.63673795409062,0.00048828125
93,3.4400462141772583,3.923257905880318,32.53491369677745,52.61960180016125,0.00048828125
94,3.4398945753149497,3.9223794959595097,32.53773445856134,52.571630594484944,0.00048828125
95,3.4389068508050022,3.921434152213966,32.510865662913666,52.52159724516027,0.00048828125
96,3.439610679459209,3.9211270517176566,32.53082984285794,52.506827376344624,0.00048828125
97,3.4379488949082564,3.920186833368943,32.48500856046851,52.4576670343385,0.00048828125
98,3.4383783554147285,3.919946006444447,32.491239892035786,52.44420397851397,0.00048828125
99,3.4374409018149152,3.9191749067429233,32.45028051142376,52.402046003324145,0.00048828125
100,3.436867416886709,3.918491242727374,32.43457798732716,52.365048334002495,0.00048828125
101,3.435215312882332,3.9179710424779093,32.38073579835604,52.33927276160787,0.00048828125
102,3.4344866109067858,3.9183839181547655,32.355255428589274,52.35954924935804,0.00048828125
103,3.4379568047351357,3.913888486157007,32.481919704081285,52.11959879538592,0.000244140625
104,3.4354513569900065,3.913075985551319,32.389255072414606,52.075387579991535,0.000244140625
105,3.4340360515318324,3.912344521623762,32.35186526387927,52.03754971220213,0.000244140625
106,3.4340448664269614,3.912317711750374,32.35679584178251,52.03770226152504,0.000244140625
107,3.435507452580409,3.9105974332812954,32.39376152845951,51.94395592326627,0.0001220703125
108,3.433468437435686,3.91014691305292,32.32480024108825,51.92210725431933,0.0001220703125
109,3.434261718655208,3.9100312380229725,32.34690420940143,51.91475701288265,0.0001220703125
110,3.4338281645031024,3.909770840450245,32.33624552016079,51.90237317891682,0.0001220703125
111,3.433936369449919,3.9093075762776768,32.3368309029763,51.87688231555855,0.0001220703125
112,3.4335887602927366,3.9093172483365324,32.323746515235875,51.87801154483767,0.0001220703125
113,3.4339909145319063,3.908600820611943,32.34641166362545,51.8371110225425,6.103515625e-05
114,3.4338245877449762,3.9083139990072917,32.330089966536,51.82274045050144,6.103515625e-05
115,3.4326904087668004,3.908392145188854,32.29867925534791,51.827889537110046,6.103515625e-05
116,3.4338060540850677,3.9078007405075956,32.339632108694836,51.79505597361747,3.0517578125e-05
117,3.433620507719644,3.9077578844393,32.335074230844484,51.7920497476178,3.0517578125e-05
118,3.4330244637718264,3.9077065564582454,32.3064769386252,51.790175313020455,3.0517578125e-05
119,3.432998326612845,3.9075105055509245,32.313435405912294,51.7790414007271,3.0517578125e-05
120,3.43337215211078,3.9074678139980223,32.32845175016272,51.77765891657156,3.0517578125e-05
121,3.433083680235859,3.9073472134768963,32.31595255166969,51.770685512353396,3.0517578125e-05
122,3.4330957329879372,3.9073819900479387,32.313112380803005,51.77246036731145,3.0517578125e-05
123,3.4326844003183865,3.9071879354579484,32.3017646052492,51.762419779072786,1.52587890625e-05
124,3.4320173831514778,3.9071418108309017,32.283421041430564,51.76008915287607,1.52587890625e-05
125,3.4328887329685567,3.9071374691146263,32.311403998147824,51.759467867367405,1.52587890625e-05
126,3.432005172138594,3.907186435919036,32.27651304339331,51.76212774786879,1.52587890625e-05
127,3.4328538724874544,3.907057547448751,32.30429648419261,51.75519812939798,7.62939453125e-06
