epoch,loss_train,loss_validation,perplexity_train,perplexity_validation,learning_rate
0,6.056901746916642,5.52369830567958,542.2930950093698,270.38463673349156,0.5
1,5.364292591072041,5.11410119978048,231.69762571567878,182.7031349731704,0.5
2,4.98846686184222,4.7965991820319225,160.41851716151467,133.99733123940936,0.5
3,4.671613255596897,4.515862893250029,117.32501796631823,101.18077740426791,0.5
4,4.36558589187211,4.229006357112174,86.52595576723694,76.0670417567431,0.5
5,4.093632058317843,4.030717904284849,65.9886570668152,62.39713385549642,0.5
6,3.8674405169930073,3.8367516065047957,52.495444247225244,51.151087611408556,0.5
7,3.676456919375716,3.6859272738634528,43.23562560585981,44.0004585961164,0.5
8,3.505709807524214,3.543773255105746,36.4049603807738,38.14526553679321,0.5
9,3.3758773839025205,3.4531446392253295,31.88247879602479,34.823145910844964,0.5
10,3.22826710798535,3.2940009140362174,27.43598514479992,29.59176035048598,0.5
11,3.0741474890572347,3.1859092919503227,23.451087902960776,26.50338989395206,0.5
12,2.939954822232339,3.069826034166045,20.43940667042259,23.542238178899733,0.5
13,2.8209866897576954,2.9402791145494427,18.073267875885215,20.632204033560672,0.5
14,2.697868856111773,2.829070008407205,15.93509514430627,18.423643890073745,0.5
15,2.6312450294253154,2.789895001609447,14.894921313596479,17.71618814185514,0.5
16,2.518777787005719,2.692652339652433,13.263977446336288,16.023452025348856,0.5
17,2.4067535247840373,2.6108955998541945,11.812633180920933,14.75539436986891,0.5
18,2.3071300457385866,2.510792878724761,10.648715017273611,13.300552101458534,0.5
19,2.2158533301798258,2.4232696865574788,9.706195193795388,12.197466365361619,0.5
20,2.1387156406157253,2.357776119042251,8.949994652888686,11.39889883489932,0.5
21,2.0580867572413024,2.279206003172923,8.23967552915389,10.512092952000893,0.5
22,1.9841181120649871,2.2181708459126748,7.6301718538394745,9.867055230221506,0.5
23,1.9148480210566383,2.1682051546492818,7.099005087379347,9.357370314961774,0.5
24,1.8484763007296345,2.1215799839819893,6.629466418561711,8.911742492247436,0.5
25,1.7976657273948402,2.049221999564413,6.288094853411008,8.262146770954132,0.5
26,1.7357006885017756,1.9937698194536113,5.898448102406822,7.7979513053166665,0.5
27,1.6695048895477687,1.9510294729370181,5.506684642076217,7.496043917486223,0.5
28,1.6138213426744341,1.9082037074080969,5.198038975063252,7.162721085346352,0.5
29,1.567151670509409,1.8740158222489438,4.9536834616596055,6.9231582021309155,0.5
30,1.5301765845480637,1.815669516890736,4.766863681731247,6.493736109491122,0.5
31,1.4965648513520844,1.7776959604125913,4.604772166846352,6.247014570034157,0.5
32,1.4816634626112577,1.7640096853345126,4.535064790634427,6.16198869781979,0.5
33,1.4152775399567823,1.731622525190903,4.231694606984729,5.9587379966752,0.5
34,1.3730512656435967,1.6773836794546095,4.049312247204184,5.633432748964277,0.5
35,1.3405325281047111,1.6474691043465823,3.9152714880415025,5.4547669170266495,0.5
36,1.3131817758910496,1.621452514397896,3.8056393396834203,5.319405832533109,0.5
37,1.2721887552789166,1.5934163910352577,3.648886362809906,5.171766181113356,0.5
38,1.2471431670033926,1.5602846345153905,3.5559272173353,4.993198359416703,0.5
39,1.2138148771906363,1.5212970312874197,3.4343286291643658,4.792380934044466,0.5
40,1.1905107436300852,1.47393651407654,3.3527942473079904,4.562528744592505,0.5
41,1.1777130828801303,1.4869166524228403,3.3104973015461923,4.6221792172577425,0.5
42,0.8414702923703988,1.1629811265205934,2.357705458706532,3.309184968471527,0.25
43,0.7447196425375583,1.1279943651061948,2.1277100421798667,3.1957412362098694,0.25
44,0.7100073802949017,1.097996982982603,2.0526733657643885,3.0934240656383967,0.25
45,0.688675469483006,1.077151091927189,2.0076329749777573,3.028413451324075,0.25
46,0.6750530566167278,1.0642802402124567,1.9794074948958749,2.984450863579572,0.25
47,0.6646943070669517,1.0545057159359172,1.9585835517416197,2.9549193584312827,0.25
48,0.6568054251197084,1.0420999458785785,1.942519967973359,2.9149168406502675,0.25
49,0.6516618088336206,1.0373663674976865,1.931845943792407,2.9026164776187833,0.25
50,0.6443115533110761,1.0394103436146753,1.9171822197328345,2.90868898771577,0.25
51,0.497859719983701,0.876196880714368,1.654180651213378,2.459719572026851,0.125
52,0.4576010809199853,0.858336300920632,1.5865450237057854,2.4128559999546764,0.125
53,0.442216811290033,0.8468161765801705,1.5618087583798403,2.3840858047291382,0.125
54,0.4325558340126195,0.8374380779973531,1.5464977463286287,2.361742909681999,0.125
55,0.42679714641228195,0.8291086347426398,1.5372445389700145,2.3398775670488003,0.125
56,0.42325960132538737,0.8306190694792795,1.531698161878648,2.3440704810417303,0.125
57,0.3710333405135844,0.7621500946707644,1.4532307301470955,2.183565709550502,0.0625
58,0.35386233666380573,0.7525111911660534,1.4279554811861666,2.1621948561425937,0.0625
59,0.34612026054667505,0.7471238673996117,1.4168212585341753,2.1496272309351774,0.0625
