epoch,loss_train,loss_validation,perplexity_train,perplexity_validation,learning_rate
0,6.527927661436953,5.842820544407439,966.0925914407396,352.24474058222415,0.5
1,5.923078620703343,5.565607602582939,383.56642613566447,267.613260415063,0.5
2,5.681045108366142,5.404186947132224,301.65040200591517,228.3241718669436,0.5
3,5.511159630571244,5.296775435000213,255.2715696889705,205.52226756046068,0.5
4,5.379476741504755,5.2237939057287885,224.48738920306278,191.53220367609566,0.5
5,5.268430307273816,5.170817792860429,201.46339967638758,182.0293758751741,0.5
6,5.173661271520741,5.119883616023989,183.6593684667715,173.2364787895288,0.5
7,5.0852805030948085,5.0844197346648174,168.53102869219762,167.6382415365817,0.5
8,5.011647424202651,5.0627952419332605,156.7570119245235,164.37162822662896,0.5
9,4.9401947807494,5.03102421426951,146.11181967022182,159.15288515322243,0.5
10,4.873786373183089,5.010553743634651,136.8654783815956,156.26049443590108,0.5
11,4.816086794807316,5.010691549295365,129.276616242831,156.08779016270566,0.5
12,4.759634406360935,4.985394338284856,122.26817292980328,152.61406237420752,0.5
13,4.707048054017562,4.958980489411016,115.99596464005025,149.07311041230585,0.5
14,4.6495065968741285,4.933917904244875,109.55675339624938,145.0978648360096,0.5
15,4.597456077752559,4.914370997906176,103.95606376167657,142.39117051238443,0.5
16,4.544410706607333,4.883261727697369,98.5852130515485,138.34463529177566,0.5
17,4.497298095083175,4.867240768704397,93.99378957501615,136.0831931233406,0.5
18,4.449643419842571,4.827698839300159,89.60312802420758,130.7429427317719,0.5
19,4.411302356598549,4.801532446559685,86.25218595118955,127.35957366406028,0.5
20,4.369234285406021,4.768631754359648,82.62810062439245,123.18639370042887,0.5
21,4.329082124544186,4.770810286834169,79.38684959914522,123.78819048137807,0.5
22,4.2047076417706695,4.701573060742065,70.29819523858723,115.85588735875798,0.25
23,4.12957556268239,4.662117666606583,65.12383682533178,111.32381907416813,0.25
24,4.085538470729676,4.644457268792746,62.28203871622385,109.29274402625525,0.25
25,4.050410524828061,4.6394950196480575,60.07292764673419,108.77200738396218,0.25
26,4.019008501061184,4.612005716328746,58.21236863375065,105.69286078792899,0.25
27,3.9913462033640825,4.587996186271532,56.59179818233329,103.25964741831395,0.25
28,3.962605646085226,4.554761519738987,54.97333037220253,99.6216350691532,0.25
29,3.9362002072001308,4.540142035806801,53.53197367339777,98.1734667989745,0.25
30,3.914247747892205,4.538760538254656,52.32248233186288,98.16143278088143,0.25
31,3.886376408472966,4.521328342272274,50.87533365844788,96.56105717171484,0.25
32,3.8600229277297107,4.521819847788828,49.53049615714698,96.6673311782417,0.25
33,3.770949682400498,4.433817019269092,45.39298567219116,88.57171630014234,0.125
34,3.7171684307145934,4.405150366530044,42.98257688849248,86.12025067610527,0.125
35,3.6900780664722777,4.3967985362926525,41.81190002534171,85.34809553089427,0.125
36,3.664593501138572,4.3709744030415125,40.73060817630579,83.01277173188195,0.125
